device=gpu kind=NVIDIA A100-SXM4-40GB
loading datasets...
train=(4096, 64, 64, 3), val=(512, 64, 64, 3)
=== RGB E2E CNN Experiment ===
train_npz=/lustre06/project/6102186/liamfitz/fouriax/experiments/data/cartoon_faces_nx64_shards
valid_npz=/lustre06/project/6102186/liamfitz/fouriax/experiments/data/cartoon_faces_nx64_shards
grids: sensor=64x64 @ 0.60 um, meta/field=64x64 @ 0.60 um
wavelengths_um=[1.3       1.1304348 1.       ]
epochs=50, batch_size=64, optical_lr=5.00e-03, decoder_lr=1.00e-03
optimizing...
  batch=040/064 train_loss=0.017337 batch_time=0.13s elapsed=96.88s
  batch=041/064 train_loss=0.016347 batch_time=0.13s elapsed=97.00s
  batch=042/064 train_loss=0.016508 batch_time=0.13s elapsed=97.13s
  batch=043/064 train_loss=0.016439 batch_time=0.13s elapsed=97.26s
  batch=044/064 train_loss=0.016871 batch_time=0.13s elapsed=97.38s
  batch=045/064 train_loss=0.015404 batch_time=0.13s elapsed=97.51s
  batch=046/064 train_loss=0.016461 batch_time=0.13s elapsed=97.63s
  batch=047/064 train_loss=0.017261 batch_time=0.12s elapsed=97.76s
  batch=048/064 train_loss=0.016775 batch_time=0.13s elapsed=97.88s
  batch=049/064 train_loss=0.016361 batch_time=0.13s elapsed=98.01s
  batch=050/064 train_loss=0.016371 batch_time=0.13s elapsed=98.14s
  batch=051/064 train_loss=0.017628 batch_time=0.13s elapsed=98.26s
  batch=052/064 train_loss=0.015165 batch_time=0.13s elapsed=98.39s
  batch=053/064 train_loss=0.015446 batch_time=0.13s elapsed=98.51s
  batch=054/064 train_loss=0.015111 batch_time=0.13s elapsed=98.64s
  batch=055/064 train_loss=0.015748 batch_time=0.13s elapsed=98.77s
  batch=056/064 train_loss=0.016060 batch_time=0.13s elapsed=98.89s
  batch=057/064 train_loss=0.016376 batch_time=0.13s elapsed=99.02s
  batch=058/064 train_loss=0.014505 batch_time=0.13s elapsed=99.15s
  batch=059/064 train_loss=0.014617 batch_time=0.13s elapsed=99.27s
  batch=060/064 train_loss=0.014598 batch_time=0.13s elapsed=99.40s
  batch=061/064 train_loss=0.013267 batch_time=0.13s elapsed=99.52s
  batch=062/064 train_loss=0.013148 batch_time=0.13s elapsed=99.65s
  batch=063/064 train_loss=0.013264 batch_time=0.13s elapsed=99.78s
  batch=064/064 train_loss=0.013867 batch_time=0.13s elapsed=99.90s
->epoch=002/050 val_loss=0.013152 train_loss=0.013867 epoch_time=8.78s elapsed=100.62s [best]
epoch=003/050 batches=64 elapsed=100.62s
  batch=001/064 train_loss=0.012605 batch_time=0.13s elapsed=100.75s
  batch=002/064 train_loss=0.013978 batch_time=0.13s elapsed=100.87s
  batch=003/064 train_loss=0.012734 batch_time=0.13s elapsed=101.00s
  batch=004/064 train_loss=0.012888 batch_time=0.13s elapsed=101.13s
  batch=005/064 train_loss=0.012031 batch_time=0.13s elapsed=101.25s
  batch=006/064 train_loss=0.012892 batch_time=0.13s elapsed=101.38s
  batch=007/064 train_loss=0.013368 batch_time=0.13s elapsed=101.50s
  batch=008/064 train_loss=0.012904 batch_time=0.13s elapsed=101.63s
  batch=009/064 train_loss=0.011285 batch_time=0.13s elapsed=101.76s
  batch=010/064 train_loss=0.013096 batch_time=0.13s elapsed=101.88s
  batch=011/064 train_loss=0.011716 batch_time=0.13s elapsed=102.01s
  batch=012/064 train_loss=0.011250 batch_time=0.13s elapsed=102.13s
  batch=013/064 train_loss=0.011083 batch_time=0.13s elapsed=102.26s
  batch=014/064 train_loss=0.013071 batch_time=0.13s elapsed=102.39s
  batch=015/064 train_loss=0.011448 batch_time=0.13s elapsed=102.51s
